case_id,family,subfamily,entry_theta_deg,heading_deg,heading_offset_deg,entry_lat_deg,entry_lon_deg,duration_s,h_min_km,h_max_km,rmin_km
N01,nominal,nominal,0,180,0,26.4683460592586,-129.584216602156,800,38.8050636571003,59.8162721578507,734.28524780652
N02,nominal,nominal,30,-150,0,39.9371236407874,-129.210618483287,800,38.8050636571003,59.8162721578507,898.685809581613
N03,nominal,nominal,60,-120,0,51.776815210437,-138.516101485756,800,38.8055219764821,59.8135121535603,725.441356591253
N04,nominal,nominal,90,-90,0,56.9494585235856,-160,800,38.8067543779826,59.8131582779614,1.69004079033921
N05,nominal,nominal,120,-60,0,51.776815210437,178.516101485756,800,38.8055219764821,59.8135121535603,725.441356591253
N06,nominal,nominal,150,-30,0,39.9371236407874,169.210618483287,800,38.8050636571003,59.8162721578507,898.685809581618
N07,nominal,nominal,180,0,0,26.4683460592586,169.584216602156,800,38.8050636571003,59.8162721578507,734.28524780652
N08,nominal,nominal,210,30,0,14.445565010497,176.090071370726,800,38.8050636571003,59.8162721578507,466.064855435052
N09,nominal,nominal,240,60,0,6.07326339029551,-173.172359806545,800,38.8055219764821,59.8135121535603,212.430993020669
N10,nominal,nominal,270,90,0,3.05054147641435,-160,800,38.8067543779826,59.8131582779614,1.69003693216335
N11,nominal,nominal,300,120,0,6.07326339029551,-146.827640193455,800,38.8055219764821,59.8135121535603,212.430993020674
N12,nominal,nominal,330,150,0,14.445565010497,-136.090071370726,800,38.8050636571003,59.8162721578507,466.06485543505
H01_+00,heading,heading,0,180,0,26.4683460592586,-129.584216602156,800,38.8050636571003,59.8162721578507,734.28524780652
H01_-30,heading,heading,0,150,-30,26.4683460592586,-129.584216602156,800,38.8050636571003,59.8162721578507,768.011516168433
H01_+30,heading,heading,0,-150,30,26.4683460592586,-129.584216602156,800,38.8050636571003,59.8162721578507,2040.61613455944
H01_-60,heading,heading,0,120,-60,26.4683460592586,-129.584216602156,800,38.8055219764821,59.8135121535603,2069.46174569845
H01_+60,heading,heading,0,-120,60,26.4683460592586,-129.584216602156,800,38.8055219764821,59.8135121535603,2813.01430126065
H02_+00,heading,heading,30,-150,0,39.9371236407874,-129.210618483287,800,38.8050636571003,59.8162721578507,898.685809581613
H02_-30,heading,heading,30,-180,-30,39.9371236407874,-129.210618483287,800,38.8050636571003,59.8162721578507,603.641294398902
H02_+30,heading,heading,30,-120,30,39.9371236407874,-129.210618483287,800,38.8055219764821,59.8135121535603,2165.69959025393
H02_-60,heading,heading,30,150,-60,39.9371236407874,-129.210618483287,800,38.8050636571003,59.8162721578507,1941.93525427928
H02_+60,heading,heading,30,-90,60,39.9371236407874,-129.210618483287,800,38.8067543779826,59.8131582779614,2854.95401139899
H03_+00,heading,heading,60,-120,0,51.776815210437,-138.516101485756,800,38.8055219764821,59.8135121535603,725.441356591253
H03_-30,heading,heading,60,-150,-30,51.776815210437,-138.516101485756,800,38.8050636571003,59.8162721578507,781.847569297682
H03_+30,heading,heading,60,-90,30,51.776815210437,-138.516101485756,800,38.8067543779826,59.8131582779614,2039.39786640058
H03_-60,heading,heading,60,-180,-60,51.776815210437,-138.516101485756,800,38.8050144730778,59.8177227800889,2075.76392685746
H03_+60,heading,heading,60,-60,60,51.776815210437,-138.516101485756,800,38.8055219764821,59.8135121535603,2809.85624716423
H04_+00,heading,heading,90,-90,0,56.9494585235856,-160,800,38.8067543779826,59.8131582779614,1.69004079033921
H04_-30,heading,heading,90,-120,-30,56.9494585235856,-160,800,38.8055219764821,59.8135121535603,1455.92333163054
H04_+30,heading,heading,90,-60,30,56.9494585235856,-160,800,38.8055219764821,59.8135121535603,1455.92333163054
H04_-60,heading,heading,90,-150,-60,56.9494585235856,-160,800,38.8050636571003,59.8162721578507,2517.52751011186
H04_+60,heading,heading,90,-30,60,56.9494585235856,-160,800,38.8050636571003,59.8162721578507,2517.52751011186
H05_+00,heading,heading,120,-60,0,51.776815210437,178.516101485756,800,38.8055219764821,59.8135121535603,725.441356591253
H05_-30,heading,heading,120,-90,-30,51.776815210437,178.516101485756,800,38.8067543779826,59.8131582779614,2039.39786640058
H05_+30,heading,heading,120,-30,30,51.776815210437,178.516101485756,800,38.8050636571003,59.8162721578507,781.847569297681
H05_-60,heading,heading,120,-120,-60,51.776815210437,178.516101485756,800,38.8055219764821,59.8135121535603,2809.85624716423
