h_km,i_deg,P,T,F,Ns,DG_worst,DA_worst,DT_bar_worst,DT_worst,feasible_flag,dominant_fail_tag,slice_source
800,60,6,8,1,48,893.461846993687,29.8908321562597,0.8,1.6,1,OK,hi
1000,60,6,8,1,48,737.906829879801,27.1644405405265,0.530973451327434,1.06194690265487,1,OK,hi
800,60,6,8,1,48,893.461846993687,29.8908321562597,0.8,1.6,1,OK,PT
1000,60,6,8,1,48,737.906829879801,27.1644405405265,0.530973451327434,1.06194690265487,1,OK,PT
800,60,6,8,1,48,893.461846993687,29.8908321562597,0.8,1.6,1,OK,nominal
1000,60,6,8,1,48,737.906829879801,27.1644405405265,0.530973451327434,1.06194690265487,1,OK,nominal
800,60,6,8,1,48,893.461846993687,29.8908321562597,0.8,1.6,1,OK,heading
1000,60,6,8,1,48,737.906829879801,27.1644405405265,0.530973451327434,1.06194690265487,1,OK,heading
800,60,6,8,1,48,893.461846993687,29.8908321562597,0.8,1.6,1,OK,critical
1000,60,6,8,1,48,737.906829879801,27.1644405405265,0.530973451327434,1.06194690265487,1,OK,critical
