case_id,t0_s,DG_window,DA_window,DT_bar_window,DT_window,dt_max_window_s,DG_is_worst,DA_is_worst,DT_is_worst
N01,0,515.192113350654,22.6978438039972,0.5,1,60,0,0,1
N01,5,518.27432969903,22.7656392332618,0.5,1,60,0,0,0
N01,10,518.280982657806,22.7657853512197,0.5,1,60,0,0,0
N01,15,515.276335949951,22.6996990277393,0.5,1,60,0,0,0
N01,20,509.384116424284,22.5695395704982,0.5,1,60,0,0,0
N01,25,500.776014817591,22.378025266265,0.5,1,60,0,0,0
N01,30,489.662872409362,22.1283273748686,0.5,1,60,0,0,0
N01,35,476.284339865358,21.823939604603,0.5,1,60,0,0,0
N01,40,460.900418651009,21.4685914454351,0.5,1,60,0,0,0
N01,45,443.784932815997,21.0662035691294,0.5,1,60,0,0,0
N01,50,425.220799825567,20.6208826150959,0.5,1,60,0,0,0
N01,55,405.497283921762,20.1369631255997,0.5,1,60,0,0,0
N01,60,384.901201461311,19.6188990889219,0.5,1,60,0,0,0
N01,65,363.719798353083,19.0714393361666,0.5,1,60,0,0,0
N01,70,342.229167789948,18.4994369587277,0.5,1,60,0,0,0
N01,75,320.688781102011,17.9077854884968,0.5,1,60,0,0,0
N01,80,299.334732169972,17.3012927889787,0.5,1,60,0,0,0
N01,85,278.383114146167,16.6848168748165,0.5,1,60,0,0,0
N01,90,258.013322513872,16.0627931105979,0.5,1,60,0,0,0
N01,95,238.382298244449,15.4396340061689,0.5,1,60,0,0,0
N01,100,219.60824577706,14.8191850577909,0.5,1,60,0,0,0
N01,105,201.777638685757,14.2048456058403,0.5,1,60,0,0,0
N01,110,184.957054828235,13.5998917211954,0.5,1,60,0,0,0
N01,115,169.179848000361,13.0069153914508,0.5,1,60,0,0,0
N01,120,154.456935162534,12.428070452107,0.5,1,60,0,0,0
N01,125,140.784151344094,11.8652497379572,0.5,1,60,0,0,0
N01,130,128.141459865534,11.3199584745498,0.5,1,60,0,0,0
N01,135,116.496044143771,10.7933333194047,0.5,1,60,0,0,0
N01,140,105.803461718732,10.2860809698704,0.5,1,60,0,0,0
N01,145,96.016682699802,9.7988102696093,0.5,1,60,0,0,0
N01,150,87.080791965396,9.33170895202995,0.5,1,60,0,0,0
N01,155,78.9439880207342,8.88504293859805,0.5,1,60,0,0,0
N01,160,71.5493796928134,8.45868664112903,0.5,1,60,0,0,0
N01,165,64.8397252225333,8.05231179367364,0.5,1,60,0,0,0
N01,170,58.7641347337861,7.66577685129125,0.5,1,60,0,0,0
N01,175,53.2692158787639,7.29857629122063,0.5,1,60,0,0,0
N01,180,48.3052998258344,6.95020142339987,0.5,1,60,0,0,0
N01,185,43.8261514822852,6.62013228585963,0.5,1,60,0,0,0
N01,190,39.7887963724197,6.30783610855738,0.5,1,60,0,0,0
N01,195,36.1534044649229,6.01277011575565,0.5,1,60,0,0,0
N01,200,32.882659901542,5.73434040684188,0.5,1,60,0,0,0
N01,205,29.942379641954,5.47196305195425,0.5,1,60,0,0,0
N01,210,27.3011241671397,5.22504776697189,0.5,1,60,0,0,0
N01,215,24.9300197105472,4.99299706694752,0.5,1,60,0,0,0
N01,220,22.8024523018265,4.77519133667167,0.5,1,60,0,0,0
N01,225,20.8933060842908,4.57091961035052,0.5,1,60,0,0,0
N01,230,19.179297608393,4.37941749647019,0.5,1,60,0,0,0
N01,235,17.6386801665702,4.19984287403365,0.5,1,60,0,0,0
N01,240,16.2513211027811,4.03129273345197,0.5,1,60,0,0,0
N01,245,416.281315304332,20.4029731976576,0.521739130434783,1.04347826086957,55,0,0,0
N01,250,819.789777679478,28.6319712503257,0.545454545454545,1.09090909090909,50,0,0,0
N01,255,1223.10382396843,34.9729012803975,0.571428571428571,1.14285714285714,45,0,0,0
N01,260,1622.06285362775,40.2748414475806,0.6,1.2,40,0,0,0
N01,265,2012.06631148591,44.8560621486763,0.631578947368421,1.26315789473684,35,0,0,0
N01,270,2388.20216509918,48.8692353643801,0.666666666666667,1.33333333333333,30,0,0,0
N01,275,2745.47264610667,52.397258001795,0.705882352941177,1.41176470588235,25,0,0,0
N01,280,3003.15583032945,54.8010568358809,0.75,1.5,20,0,0,0
N01,285,3158.68871811823,56.2022127510851,0.8,1.6,15,0,0,0
N01,290,3209.71291739574,56.6543283200475,0.810810810810811,1.62162162162162,14,0,0,0
N01,295,3149.25234495353,56.1181997657938,0.759493670886076,1.51898734177215,19,0,0,0
N01,300,2981.95658482508,54.6072942455958,0.714285714285714,1.42857142857143,24,0,0,0
N01,305,2695.48743663711,51.9180839076049,0.674157303370786,1.34831460674157,29,0,0,0
N01,310,2358.80036575725,48.5674825964579,0.638297872340426,1.27659574468085,34,0,0,0
N01,315,1976.36004392751,44.4562711428603,0.606060606060606,1.21212121212121,39,0,0,0
N01,320,1554.17889318837,39.4230756434397,0.576923076923077,1.15384615384615,44,0,0,0
N01,325,1098.95289638993,33.1504584642495,0.55045871559633,1.10091743119266,49,0,0,0
N01,330,617.325435833811,24.8460346098489,0.526315789473684,1.05263157894737,54,0,0,0
N01,335,115.394744261029,10.7421945737838,0.504201680672269,1.00840336134454,59,0,0,0
N01,340,14.0744085756656,3.75158747407877,0.5,1,60,1,1,0
N01,345,15.480078470086,3.93447308671506,0.5,1,60,0,0,0
N01,350,17.046240348611,4.12870928361523,0.5,1,60,0,0,0
N01,355,18.7916534376175,4.33493407534839,0.5,1,60,0,0,0
N01,360,20.7372886801979,4.55382132721497,0.5,1,60,0,0,0
N01,365,22.9065337384343,4.78607707192779,0.5,1,60,0,0,0
N01,370,299.030497684647,17.2924983066255,0.508474576271186,1.01694915254237,58,0,0,0
N01,375,997.367490470572,31.581125541541,0.530973451327434,1.06194690265487,53,0,0,0
N01,380,1712.82414116326,41.386279624572,0.555555555555556,1.11111111111111,48,0,0,0
N01,385,2446.15585381499,49.4586276984611,0.58252427184466,1.16504854368932,43,0,0,0
N01,390,3198.1450726752,56.5521447221518,0.612244897959184,1.22448979591837,38,0,0,0
N01,395,3969.59125077859,63.0046922917538,0.645161290322581,1.29032258064516,33,0,0,0
N01,400,4761.30201200025,69.00218845805,0.681818181818182,1.36363636363636,28,0,0,0
