case_id,t0_s,DG_window,DA_window,DT_bar_window,DT_window,dt_max_window_s,DG_is_worst,DA_is_worst,DT_is_worst
N01,0,31.0621943143786,5.57334677858649,0.5,1,60,0,0,1
N01,5,31.9403509061541,5.65157950542642,0.5,1,60,0,0,0
N01,10,32.7971901449794,5.72688310907263,0.5,1,60,0,0,0
N01,15,33.6300790914997,5.79914468620167,0.5,1,60,0,0,0
N01,20,34.4365106106574,5.86826299774112,0.5,1,60,0,0,0
N01,25,35.2139470568656,5.93413406124806,0.5,1,60,0,0,0
N01,30,35.9598336080134,5.99665186650134,0.5,1,60,0,0,0
N01,35,36.67148832673,6.05569883058378,0.5,1,60,0,0,0
N01,40,37.3460316190431,6.11113996068209,0.5,1,60,0,0,0
N01,45,37.9803748835044,6.16282199024941,0.5,1,60,0,0,0
N01,50,38.571323397223,6.21058156674721,0.5,1,60,0,0,0
N01,55,39.1156586058094,6.25425124261943,0.5,1,60,0,0,0
N01,60,39.6098557241935,6.29363612899546,0.5,1,60,0,0,0
N01,65,40.0509499580124,6.32858198635458,0.5,1,60,0,0,0
N01,70,40.4359764079784,6.35892887269379,0.5,1,60,0,0,0
N01,75,40.7621695162884,6.3845257863279,0.5,1,60,0,0,0
N01,80,41.0268557855188,6.40522097866407,0.5,1,60,0,0,0
N01,85,41.2284469667418,6.42093816873681,0.5,1,60,0,0,0
N01,90,41.3649257284312,6.43155702209272,0.5,1,60,0,0,0
N01,95,41.4358132643857,6.43706557869247,0.5,1,60,0,0,0
N01,100,41.4402213267509,6.43740796646822,0.5,1,60,0,0,0
N01,105,41.377501662239,6.43253462192324,0.5,1,60,0,0,0
N01,110,41.2486852426224,6.42251393479394,0.5,1,60,0,0,0
N01,115,41.0541816764935,6.40735371869647,0.5,1,60,0,0,0
N01,120,40.7947652948076,6.38707799348083,0.5,1,60,0,0,0
N01,125,40.4722136569503,6.36177755481516,0.5,1,60,0,0,0
N01,130,40.088656867996,6.33156038176969,0.5,1,60,0,0,0
N01,135,39.6465049671644,6.29654706701721,0.5,1,60,0,0,0
N01,140,39.1480143980378,6.25683741182694,0.5,1,60,0,0,0
N01,145,38.5964772017795,6.21260631311686,0.5,1,60,0,0,0
N01,150,37.994708762973,6.16398481203303,0.5,1,60,0,0,0
N01,155,37.3468841677723,6.11120971394137,0.5,1,60,0,0,0
N01,160,36.6565135672856,6.05446228556138,0.5,1,60,0,0,0
N01,165,35.9269688714519,5.99391098294356,0.5,1,60,0,0,0
N01,170,43.9625755506938,6.630428006599,0.512820512820513,1.02564102564103,57,0,0,0
N01,175,53.1082567057197,7.28754119753162,0.535714285714286,1.07142857142857,52,0,0,0
N01,180,57.5949775966006,7.58913549731467,0.560747663551402,1.1214953271028,47,0,0,0
N01,185,58.6864684836627,7.66070939819951,0.588235294117647,1.17647058823529,42,0,0,0
N01,190,57.4433465944333,7.57913890850622,0.618556701030928,1.23711340206186,37,0,0,0
N01,195,54.7549261059801,7.39965716138117,0.652173913043478,1.30434782608696,32,0,0,0
N01,200,51.3658812527534,7.1669994595196,0.689655172413793,1.37931034482759,27,0,0,0
N01,205,47.9001422661488,6.92099286707827,0.731707317073171,1.46341463414634,22,0,0,0
N01,210,44.880645376147,6.69930185736895,0.779220779220779,1.55844155844156,17,0,0,0
N01,215,42.7465793802883,6.53808682875118,0.833333333333333,1.66666666666667,12,0,0,0
N01,220,41.8681980166669,6.47056396434402,0.895522388059702,1.7910447761194,7,0,0,0
N01,225,42.5593970197007,6.52375635808865,0.967741935483871,1.93548387096774,2,0,0,0
N01,230,42.7769409671682,6.54040831807687,1,2,0,0,0,0
N01,235,42.6845009967423,6.53333766131395,1,2,0,0,0,0
N01,240,43.6522492229237,6.60698488139061,1,2,0,0,0,0
N01,245,45.6930739152186,6.75966522212588,1,2,0,0,0,0
N01,250,48.8212251775315,6.98721870113802,1,2,0,0,0,0
N01,255,53.0534021716385,7.28377664207501,1,2,0,0,0,0
N01,260,58.408201682565,7.6425258705852,1,2,0,0,0,0
N01,265,61.1980175243886,7.82291617776813,0.952380952380952,1.9047619047619,3,0,0,0
N01,270,62.8828962377163,7.92987365837034,0.882352941176471,1.76470588235294,8,0,0,0
N01,275,65.7343565759892,8.10767269788247,0.821917808219178,1.64383561643836,13,0,0,0
N01,280,69.4075006506472,8.33111641082074,0.769230769230769,1.53846153846154,18,0,0,0
N01,285,73.4878410263547,8.57250494466777,0.72289156626506,1.44578313253012,23,0,0,0
N01,290,77.4765085875761,8.8020741071395,0.681818181818182,1.36363636363636,28,0,0,0
N01,295,80.77452494935,8.98746487889382,0.645161290322581,1.29032258064516,33,0,0,0
N01,300,82.6652263535877,9.09204192431983,0.612244897959184,1.22448979591837,38,0,0,0
N01,305,82.2962560938419,9.07172839616804,0.58252427184466,1.16504854368932,43,0,0,0
N01,310,78.6607317109098,8.86908855017861,0.555555555555556,1.11111111111111,48,0,0,0
N01,315,70.5793987429591,8.40115460772861,0.530973451327434,1.06194690265487,53,0,0,0
N01,320,56.6842948392882,7.52889731894966,0.508474576271186,1.01694915254237,58,0,0,0
N01,325,50.8108385047389,7.12817217137307,0.5,1,60,0,0,0
N01,330,53.6591218601665,7.32523868963792,0.5,1,60,0,0,0
N01,335,56.6096547151197,7.52393877667265,0.5,1,60,0,0,0
N01,340,59.6541998953936,7.72361313734667,0.5,1,60,0,0,0
N01,345,62.7829226915922,7.92356754824434,0.5,1,60,0,0,0
N01,350,65.9840702871616,8.1230579394193,0.5,1,60,0,0,0
N01,355,69.244218175595,8.32131108513521,0.5,1,60,0,0,0
N01,360,72.547973013989,8.51750978948603,0.5,1,60,0,0,0
N01,365,75.878005108392,8.7107981900853,0.5,1,60,0,0,0
N01,370,79.2150374275833,8.90028299705034,0.5,1,60,0,0,0
N01,375,82.5379693022116,9.0850409631555,0.5,1,60,0,0,0
N01,380,85.8239444853834,9.26412135528149,0.5,1,60,0,0,0
N01,385,89.0485420982728,9.43655350741312,0.5,1,60,0,0,0
N01,390,92.1860641383145,9.60135741123711,0.5,1,60,0,0,0
N01,395,95.2096868981779,9.75754512662792,0.5,1,60,0,0,0
N01,400,98.0919168442606,9.90413635024589,0.5,1,60,0,0,0
N01,405,100.805257823674,10.040182160881,0.5,1,60,0,0,0
N01,410,103.322238243086,10.1647547064886,0.5,1,60,0,0,0
N01,415,105.616498180761,10.2769887700999,0.5,1,60,0,0,0
N01,420,107.663357392837,10.376095479169,0.5,1,60,0,0,0
N01,425,109.440626596952,10.4613874126214,0.5,1,60,0,0,0
N01,430,110.92955016491,10.5323098209705,0.5,1,60,0,0,0
N01,435,112.115376003157,10.5884548449316,0.5,1,60,0,0,0
N01,440,112.988362770984,10.6295984294321,0.5,1,60,0,0,0
N01,445,113.544025743804,10.6557039065376,0.5,1,60,0,0,0
N01,450,113.783650323839,10.6669419387112,0.5,1,60,0,0,0
N01,455,113.713549190889,10.6636555266422,0.5,1,60,0,0,0
N01,460,113.344752519317,10.6463492578121,0.5,1,60,0,0,0
N01,465,112.69230427282,10.615663157468,0.5,1,60,0,0,0
N01,470,111.773479463453,10.5722977381199,0.5,1,60,0,0,0
N01,475,110.607057800446,10.5169890082875,0.5,1,60,0,0,0
N01,480,109.212042643958,10.4504565758611,0.5,1,60,0,0,0
N01,485,107.606871253841,10.3733731858948,0.5,1,60,0,0,0
N01,490,105.80899147405,10.2863497643261,0.5,1,60,0,0,0
N01,495,103.834178642614,10.1899057229501,0.5,1,60,0,0,0
N01,500,101.697118400823,10.0844989166949,0.5,1,60,0,0,0
N01,505,99.4114296430094,9.97052805236571,0.5,1,60,0,0,0
N01,510,96.9903634597488,9.8483685684357,0.5,1,60,0,0,0
N01,515,94.4469993867372,9.71838460788256,0.5,1,60,0,0,0
N01,520,91.7949039157437,9.58096570893261,0.5,1,60,0,0,0
N01,525,89.0480334950788,9.43652655880764,0.5,1,60,0,0,0
N01,530,86.221047332861,9.28552892046876,0.5,1,60,0,0,0
N01,535,83.3291086696191,9.12847789445867,0.5,1,60,0,0,0
N01,540,80.3876788930369,8.96591762693787,0.5,1,60,0,0,0
N01,545,77.4123400870319,8.79842827367668,0.5,1,60,0,0,0
N01,550,74.4184924211524,8.62661535140837,0.5,1,60,0,0,0
N01,555,71.4210455955563,8.45109730127132,0.5,1,60,0,0,0
N01,560,68.4342546393328,8.27249990264946,0.5,1,60,0,0,0
N01,565,65.4715413511437,8.09144865590469,0.5,1,60,0,0,0
N01,570,62.5453262254005,7.90856031306573,0.5,1,60,0,0,0
N01,575,59.6668552265036,7.7244323562644,0.5,1,60,0,0,0
N01,580,56.8462440040062,7.53964481948636,0.5,1,60,0,0,0
N01,585,54.0923615446673,7.35475095055339,0.5,1,60,0,0,0
N01,590,51.4128803319194,7.17027756310164,0.5,1,60,0,0,0
N01,595,48.81427183167,6.98672110733417,0.5,1,60,0,0,0
N01,600,46.3018701656326,6.80454775614306,0.5,1,60,0,0,0
N01,605,43.8799200374013,6.62419202902539,0.5,1,60,0,0,0
N01,610,41.5516481067297,6.44605678742635,0.5,1,60,0,0,0
N01,615,39.3194097531886,6.27051909758584,0.5,1,60,0,0,0
N01,620,37.1846282388924,6.09791999282458,0.5,1,60,0,0,0
N01,625,35.1479748425918,5.92857274920296,0.5,1,60,0,0,0
N01,630,33.2093257496708,5.76275331327567,0.5,1,60,0,0,0
N01,635,31.3678949626755,5.6007048630221,0.5,1,60,0,0,0
N01,640,29.6222556666629,5.44263315562085,0.5,1,60,0,0,0
N01,645,27.9703408414425,5.28869935252935,0.5,1,60,0,0,0
N01,650,26.4095172449124,5.13901909365166,0.5,1,60,1,1,0
N01,655,75.1051736410119,8.666324113545,0.508474576271186,1.01694915254237,58,0,0,0
N01,660,182.193976663997,13.497924902147,0.530973451327434,1.06194690265487,53,0,0,0
