case_tag,case_id,family,case_family,D_G_worst,D_A_worst,D_T_worst,D_T_bar_worst,t0G_star,t0A_star,t0T_star,feasible_truth,active_constraint,summary_tag,clean_dg_score,recommendation_flag
dg_micro_07,dg_micro_07_+03_+24,dg_refined_micro,heading,0.791945184528686,0.889913020765642,1,0.5,0,0,0,0,DG,DG_first_failure,9.26327305804562,1
dg_micro_08,dg_micro_08_+03_+26,dg_refined_micro,heading,0.76232560609128,0.873112596456785,1,0.5,0,0,0,0,DG,DG_first_failure,9.2134449808546,0
dg_micro_06,dg_micro_06_+03_+22,dg_refined_micro,heading,0.744448576009972,0.862814334610987,1,0.5,0,0,0,0,DG,DG_first_failure,9.18270620215916,0
dg_micro_12,dg_micro_12_+04_+24,dg_refined_micro,heading,0.485192071406004,0.696557299442133,1,0.5,0,0,0,0,DG,DG_first_failure,8.66590620767276,0
dg_micro_13,dg_micro_13_+04_+26,dg_refined_micro,heading,0.466505658380015,0.683012194898545,1,0.5,0,0,0,0,DG,DG_first_failure,8.62209725770788,0
dg_micro_11,dg_micro_11_+04_+22,dg_refined_micro,heading,0.448798865674007,0.669924522370656,1,0.5,0,0,0,0,DG,DG_first_failure,8.57952378798495,0
dg_micro_04,dg_micro_04_+02_+28,dg_refined_micro,heading,0.377764117986203,0.614625184959305,1,0.5,740,740,0,0,DG,DG_first_failure,8.39699089423874,0
dg_micro_09,dg_micro_09_+03_+28,dg_refined_micro,heading,0.201934229228129,0.449370926104563,1,0.5,740,740,0,0,DG,DG_first_failure,7.82600392917947,0
dg_micro_14,dg_micro_14_+04_+28,dg_refined_micro,heading,0.0667350949859156,0.25833136663192,1,0.5,740,740,0,0,DG,DG_first_failure,7.11827717336392,0
dg_micro_05,dg_micro_05_+02_+30,dg_refined_micro,heading,0,0,1,0.5,735,735,0,0,joint,joint_first_failure,6.08,0
dg_micro_10,dg_micro_10_+03_+30,dg_refined_micro,heading,0,0,1,0.5,730,730,0,0,joint,joint_first_failure,6.08,0
dg_micro_15,dg_micro_15_+04_+30,dg_refined_micro,heading,0,0,1,0.5,725,725,0,0,joint,joint_first_failure,6.08,0
dg_micro_03,dg_micro_03_+02_+26,dg_refined_micro,heading,1.17635795966748,1.0846003686461,1,0.5,0,0,0,1,DT,feasible_neighbor,-0.731822201296912,0
dg_micro_02,dg_micro_02_+02_+24,dg_refined_micro,heading,1.22067148284896,1.10484002590836,1,0.5,0,0,0,1,DT,feasible_neighbor,-0.773024332827522,0
dg_micro_01,dg_micro_01_+02_+22,dg_refined_micro,heading,1.26482018410843,1.12464224716514,1,0.5,0,0,0,1,DT,feasible_neighbor,-0.815159681953967,0
