case_id,t0_s,DG_window,DA_window,DT_bar_window,DT_window,dt_max_window_s,DG_is_worst,DA_is_worst,DT_is_worst
N01,0,0,0,0.5,1,60,1,1,1
N01,5,0,0,0.5,1,60,0,0,0
N01,10,0,0,0.5,1,60,0,0,0
N01,15,0,0,0.5,1,60,0,0,0
N01,20,0,0,0.5,1,60,0,0,0
N01,25,0,0,0.5,1,60,0,0,0
N01,30,0,0,0.5,1,60,0,0,0
N01,35,0,0,0.5,1,60,0,0,0
N01,40,0,0,0.5,1,60,0,0,0
N01,45,0,0,0.5,1,60,0,0,0
N01,50,0,0,0.5,1,60,0,0,0
N01,55,0,0,0.5,1,60,0,0,0
N01,60,0,0,0.5,1,60,0,0,0
N01,65,0,0,0.5,1,60,0,0,0
N01,70,1.00000363545405e-09,3.16228340832072e-05,0.5,1,60,0,0,0
N01,75,0.00279935733658476,0.0529089532767067,0.5,1,60,0,0,0
N01,80,0.0184143455869614,0.135699467892962,0.5,1,60,0,0,0
N01,85,0.0595556788693945,0.244040322219745,0.5,1,60,0,0,0
N01,90,0.141330810242292,0.375939902434206,0.5,1,60,0,0,0
N01,95,0.281414543001355,0.530485195836135,0.5,1,60,0,0,0
N01,100,0.50064895203189,0.70756551077107,0.5,1,60,0,0,0
N01,105,0.823567170434537,0.907506016749209,0.5,1,60,0,0,0
N01,110,1.27853045810359,1.13072121148618,0.5,1,60,0,0,0
N01,115,1.89894276727483,1.37802132322956,0.5,1,60,0,0,0
N01,120,2.72366962069001,1.65035439245322,0.5,1,60,0,0,0
N01,125,3.7979082404373,1.9488222700996,0.5,1,60,0,0,0
N01,130,4.96723244546581,2.22872888559052,0.5,1,60,0,0,0
N01,135,5.47693347843538,2.34028491394441,0.5,1,60,0,0,0
N01,140,6.04671549763074,2.45900701455482,0.5,1,60,0,0,0
N01,145,6.68404154755747,2.58535133928769,0.5,1,60,0,0,0
N01,150,7.39765763528021,2.71986353247407,0.5,1,60,0,0,0
N01,155,8.19684127067927,2.8630126214668,0.5,1,60,0,0,0
N01,160,9.09237112737443,3.01535588734956,0.5,1,60,0,0,0
N01,165,10.0965881910084,3.17751289391689,0.5,1,60,0,0,0
N01,170,11.2224098571823,3.34998654582096,0.5,1,60,0,0,0
N01,175,12.4847988453667,3.53338348405135,0.5,1,60,0,0,0
N01,180,13.9000025602822,3.72827071982281,0.5,1,60,0,0,0
N01,185,15.4859049591198,3.9352134578848,0.5,1,60,0,0,0
N01,190,17.2611859158307,4.15465833924118,0.5,1,60,0,0,0
N01,195,19.2459813849845,4.38702420610857,0.5,1,60,0,0,0
N01,200,21.4617687637116,4.63268483319502,0.5,1,60,0,0,0
N01,205,23.9317974179551,4.89201363632159,0.5,1,60,0,0,0
N01,210,26.6810901211167,5.16537415112604,0.5,1,60,0,0,0
N01,215,29.7375681364895,5.45321631117744,0.5,1,60,0,0,0
N01,220,33.1339187456242,5.75620697557235,0.5,1,60,0,0,0
N01,225,36.910511549932,6.07540217186733,0.5,1,60,0,0,0
N01,230,41.1178772265574,6.41232229590473,0.5,1,60,0,0,0
N01,235,45.8214712989583,6.76915587787473,0.5,1,60,0,0,0
N01,240,51.1050881049955,7.14878228126951,0.5,1,60,0,0,0
N01,245,57.076309099078,7.55488643852909,0.5,1,60,0,0,0
N01,250,63.8691558455051,7.99181805633175,0.5,1,60,0,0,0
N01,255,71.649364178838,8.4645947439224,0.5,1,60,0,0,0
N01,260,80.6175164382061,8.97872576918362,0.5,1,60,0,0,0
N01,265,91.0133915771869,9.54009389771339,0.5,1,60,0,0,0
N01,270,103.11938871231,10.1547717213296,0.5,1,60,0,0,0
N01,275,117.264369788304,10.8288674286976,0.5,1,60,0,0,0
N01,280,133.828824308354,11.5684408762959,0.5,1,60,0,0,0
N01,285,153.250250477882,12.3794285198425,0.5,1,60,0,0,0
N01,290,176.028948039903,13.2675901368673,0.5,1,60,0,0,0
N01,295,202.734269858435,14.2384784952056,0.5,1,60,0,0,0
N01,300,234.010021389071,15.2973860966201,0.5,1,60,0,0,0
N01,305,270.579067029828,16.4492877362463,0.5,1,60,0,0,0
N01,310,313.241636666189,17.6986337513997,0.5,1,60,0,0,0
N01,315,362.87114975113,19.049177141051,0.5,1,60,0,0,0
N01,320,420.399872748929,20.5036551070517,0.5,1,60,0,0,0
N01,325,486.794059479988,22.0634099694493,0.5,1,60,0,0,0
N01,330,563.014313950193,23.7279226640301,0.5,1,60,0,0,0
N01,335,731.763131286623,27.0511207029695,0.504201680672269,1.00840336134454,59,0,0,0
N01,340,1247.14428531072,35.314930062379,0.526315789473684,1.05263157894737,54,0,0,0
N01,345,1791.01002976768,42.3203264373953,0.55045871559633,1.10091743119266,49,0,0,0
N01,350,2368.16724661547,48.6638186604327,0.576923076923077,1.15384615384615,44,0,0,0
N01,355,2983.07241888238,54.6175101856758,0.606060606060606,1.21212121212121,39,0,0,0
N01,360,3639.56018614799,60.3287674840785,0.638297872340426,1.27659574468085,34,0,0,0
N01,365,4340.55068962616,65.8828558095818,0.674157303370786,1.34831460674157,29,0,0,0
N01,370,5087.75911609497,71.3285294681936,0.714285714285714,1.42857142857143,24,0,0,0
N01,375,5881.44429541165,76.6905750103078,0.759493670886076,1.51898734177215,19,0,0,0
N01,380,6720.22415846992,81.9769733429451,0.810810810810811,1.62162162162162,14,0,0,0
N01,385,7600.992368004,87.1836703058778,0.869565217391304,1.73913043478261,9,0,0,0
N01,390,8518.95314260347,92.2981751856636,0.9375,1.875,4,0,0,0
N01,395,9363.23457046974,96.7638081643636,1,2,0,0,0,0
N01,400,9788.06947903138,98.9346727847795,1,2,0,0,0,0
N01,405,10185.5895018088,100.923681570823,1,2,0,0,0,0
N01,410,10546.0694019739,102.694057286553,1,2,0,0,0,0
N01,415,10860.8761524074,104.215527405504,1,2,0,0,0,0
N01,420,11122.8832962025,105.465080932992,1,2,0,0,0,0
N01,425,11326.7537680245,106.427222870958,1,2,0,0,0,0
N01,430,11469.0684836766,107.093736902195,1,2,0,0,0,0
N01,435,11548.3176688795,107.463099103271,1,2,0,0,0,0
N01,440,11564.7527518124,107.539540411016,1,2,0,0,0,0
N01,445,11520.1589895638,107.332003566335,1,2,0,0,0,0
N01,450,11417.5711528911,106.853035300319,1,2,0,0,0,0
N01,455,11260.9771937322,106.117751548609,1,2,0,0,0,0
N01,460,11055.0337795531,105.14292072961,1,2,0,0,0,0
N01,465,10804.8292684385,103.946280685932,1,2,0,0,0,0
N01,470,10515.6648577865,102.545915851322,1,2,0,0,0,0
N01,475,10192.9030248711,100.959908007442,1,2,0,0,0,0
N01,480,9841.84344140118,99.2060655474312,1,2,0,0,0,0
N01,485,9467.6341372006,97.3017684176428,1,2,0,0,0,0
N01,490,9075.20863570495,95.2638894634528,1,2,0,0,0,0
N01,495,8669.23307354658,93.1087164208947,1,2,0,0,0,0
N01,500,8254.07614360213,90.8519462840622,1,2,0,0,0,0
N01,505,7833.78074500522,88.5086478543494,1,2,0,0,0,0
N01,510,7412.04640837725,86.0932425244703,1,2,0,0,0,0
N01,515,6992.21274062579,83.6194519273224,1,2,0,0,0,0
N01,520,6577.25607694232,81.1002840743627,1,2,0,0,0,0
N01,525,6169.78290761554,78.5479656491213,1,2,0,0,0,0
N01,530,5772.03669159027,75.9739211281757,1,2,0,0,0,0
N01,535,5385.90681326214,73.3887376459231,1,2,0,0,0,0
N01,540,5012.9434677383,70.8021431013094,1,2,0,0,0,0
N01,545,4654.37837463078,68.2230047317675,1,2,0,0,0,0
N01,550,4311.14787480202,65.6593319704216,1,2,0,0,0,0
N01,555,3983.91850240041,63.1182897613712,1,2,0,0,0,0
N01,560,3673.11528586896,60.6062314112085,1,2,0,0,0,0
N01,565,3378.95014218422,58.1287376620569,1,2,0,0,0,0
N01,570,3101.44969403191,55.6906607433591,1,2,0,0,0,0
N01,575,2840.48129778733,53.2961658826161,1,2,0,0,0,0
N01,580,2595.7798885694,50.9487967332831,1,2,0,0,0,0
N01,585,2366.97024361612,48.6515184101804,1,2,0,0,0,0
N01,590,2153.58890786707,46.4067765295875,1,2,0,0,0,0
N01,595,1955.10341316965,44.216551348671,1,2,0,0,0,0
N01,600,1770.92896996429,42.0824068936687,1,2,0,0,0,0
N01,605,1548.21149692202,39.3473188022007,0.9375,1.875,4,0,0,0
N01,610,1333.80073368989,36.5212367491832,0.869565217391304,1.73913043478261,9,0,0,0
N01,615,1139.66960208889,33.7589929069113,0.810810810810811,1.62162162162162,14,0,0,0
N01,620,963.87185962356,31.0462857621255,0.759493670886076,1.51898734177215,19,0,0,0
N01,625,804.616581950941,28.3657642581853,0.714285714285714,1.42857142857143,24,0,0,0
N01,630,660.254504461663,25.6954179662768,0.674157303370786,1.34831460674157,29,0,0,0
N01,635,529.264066409588,23.0057398579048,0.638297872340426,1.27659574468085,34,0,0,0
N01,640,410.237595878137,20.2543228935982,0.606060606060606,1.21212121212121,39,0,0,0
N01,645,301.867152938292,17.3743245318571,0.576923076923077,1.15384615384615,44,0,0,0
N01,650,202.929660094077,14.2453381881258,0.55045871559633,1.10091743119266,49,0,0,0
N01,655,112.271139152246,10.5958076215192,0.526315789473684,1.05263157894737,54,0,0,0
N01,660,28.7887774019175,5.36551744027698,0.504201680672269,1.00840336134454,59,0,0,0
N01,665,12.048650290521,3.47111657691279,0.5,1,60,0,0,0
N01,670,11.1322726173067,3.33650604934326,0.5,1,60,0,0,0
N01,675,10.3068670712156,3.21043097904611,0.5,1,60,0,0,0
N01,680,9.55781928175547,3.09157229929276,0.5,1,60,0,0,0
N01,685,8.87324624028777,2.97879946291912,0.5,1,60,0,0,0
N01,690,8.24351338084613,2.87115192576853,0.5,1,60,0,0,0
N01,695,7.66116487551369,2.76788093593522,0.5,1,60,0,0,0
N01,700,7.12057896536077,2.66844129884107,0.5,1,60,0,0,0
N01,705,6.61747810663107,2.57244593852447,0.5,1,60,0,0,0
N01,710,6.14873339126827,2.47966396740931,0.5,1,60,0,0,0
N01,715,547.726319156929,23.4035535583152,0.517241379310345,1.03448275862069,56,0,0,0
N01,720,1236.65571742861,35.1661160412777,0.540540540540541,1.08108108108108,51,0,0,0
N01,725,1938.12183939535,44.0241052083442,0.566037735849057,1.13207547169811,46,0,0,0
N01,730,2648.76191393758,51.4661239451503,0.594059405940594,1.18811881188119,41,0,0,0
N01,735,3358.96851271415,57.9566088786615,0.625,1.25,36,0,0,0
N01,740,4050.56707576144,63.6440655188011,0.659340659340659,1.31868131868132,31,0,0,0
