case_tag,family,feasible_truth,active_constraint,D_G_worst,D_A_worst,D_T_worst,delta_vs_baseline_DG,delta_vs_baseline_DA,delta_vs_baseline_DT,t0_star_summary,tier,export_role
dt_first_probe_baseline,dt_first_probe,1,DT,1.37393886264635,1.17215138213768,1,0,0,0,"(0, 0, 0)",development_only,Search-layer record only
dt_first_probe_T3F0,dt_first_probe,1,DT,2051.57021449728,45.2942624898263,1.36363636363636,2050.19627563464,44.1221111076886,0.363636363636364,"(0, 0, 0)",development_only,Search-layer record only
dt_first_probe_T3F1,dt_first_probe,1,DT,26.4095172449124,5.13901909365166,1,25.0355783822661,3.96686771151399,0,"(650, 650, 0)",development_only,Search-layer record only
dt_first_probe_T2F0,dt_first_probe,1,DT,1.37393886264635,1.17215138213768,1,0,0,0,"(0, 0, 0)",development_only,Search-layer record only
dt_first_probe_P6T4F0,dt_first_probe,0,joint,0,0,1,-1.37393886264635,-1.17215138213768,0,"(0, 0, 0)",recommended_for_MA,MA extension baseline-neighborhood control
dt_first_probe_P6T4F1,dt_first_probe,1,DT,14.0744085756656,3.75158747407877,1,12.7004697130193,2.57943609194109,0,"(340, 340, 0)",development_only,Search-layer record only
dg_first_probe_1,dg_first_probe,1,DT,1.37393886264635,1.17215138213768,1,0,0,0,"(0, 0, 0)",development_only,Development-only DG candidate
dg_first_probe_2,dg_first_probe,1,DT,1.37393886264635,1.17215138213768,1,0,0,0,"(0, 0, 0)",development_only,Development-only DG candidate
dg_first_probe_3,dg_first_probe,0,joint,0,0,1,-1.37393886264635,-1.17215138213768,0,"(710, 710, 0)",development_only,Legacy DG probe reference kept for development trace
dg_first_probe_4,dg_first_probe,0,DG,0.362676534929278,0.602226315374466,1,-1.01126232771708,-0.56992506676321,0,"(0, 0, 0)",development_only,Development-only DG candidate
dg_first_probe_5,dg_first_probe,1,DT,7.11046297731225,2.66654513881044,1,5.73652411466589,1.49439375667277,0,"(40, 40, 40)",development_only,Development-only DG candidate
dg_first_probe_6,dg_first_probe,1,DT,60.0298971370992,7.74789630397181,1,58.6559582744528,6.57574492183413,0,"(360, 360, 190)",development_only,Development-only DG candidate
