case_tag,case_id,family,case_family,D_G_worst,D_A_worst,D_T_worst,D_T_bar_worst,t0G_star,t0A_star,t0T_star,feasible_truth,active_constraint,summary_tag,is_dg_min,dg_margin_gap_to_dt,dg_margin_gap_to_da,collapse_penalty,dg_refined_rank_score,recommendation_flag
dg_refined_08,dg_refined_08_-03_+30,dg_refined_probe,heading,0.153241697850206,0.391460978706953,1,0.5,740,740,0,0,DG,DG_first_failure,1,0.846758302149794,0.238219280856747,0.365123412775828,6.49721954895816,1
dg_refined_22,dg_refined_22_+06_+26,dg_refined_probe,heading,0.13392656044789,0.365959779822559,1,0.5,0,0,0,0,DG,DG_first_failure,1,0.86607343955211,0.232033219374669,0.380424132106465,6.48631172417724,0
dg_refined_21,dg_refined_21_+06_+22,dg_refined_probe,heading,0.121943876205933,0.349204633712164,1,0.5,0,0,0,0,DG,DG_first_failure,1,0.878056123794067,0.227260757506231,0.390477219772702,6.47702088240504,0
dg_refined_16,dg_refined_16_+03_+22,dg_refined_probe,heading,0.744448576009972,0.862814334610987,1,0.5,0,0,0,0,DG,DG_first_failure,1,0.255551423990028,0.118365758601015,0.0823113992334079,5.65180439940977,0
dg_refined_17,dg_refined_17_+03_+26,dg_refined_probe,heading,0.76232560609128,0.873112596456785,1,0.5,0,0,0,0,DG,DG_first_failure,1,0.23767439390872,0.110786990365504,0.0761324421259293,5.6081015860682,0
dg_refined_04,dg_refined_04_-06_+34,dg_refined_probe,heading,0,0,1,0.5,720,720,145,0,joint,joint_first_failure,1,1,0,1,3.1,0
dg_refined_05,dg_refined_05_-06_+38,dg_refined_probe,heading,0,0,1,0.5,660,660,170,0,joint,joint_first_failure,1,1,0,1,3.1,0
dg_refined_09,dg_refined_09_-03_+34,dg_refined_probe,heading,0,0,1,0.5,705,705,0,0,joint,joint_first_failure,1,1,0,1,3.1,0
dg_refined_10,dg_refined_10_-03_+38,dg_refined_probe,heading,0,0,1,0.5,625,625,0,0,joint,joint_first_failure,1,1,0,1,3.1,0
dg_refined_13,dg_refined_13_+00_+30,dg_refined_probe,heading,0,0,1,0.5,740,740,0,0,joint,joint_first_failure,1,1,0,1,3.1,0
dg_refined_14,dg_refined_14_+00_+34,dg_refined_probe,heading,0,0,1,0.5,685,685,0,0,joint,joint_first_failure,1,1,0,1,3.1,0
dg_refined_15,dg_refined_15_+00_+38,dg_refined_probe,heading,0,0,1,0.5,600,600,0,0,joint,joint_first_failure,1,1,0,1,3.1,0
dg_refined_18,dg_refined_18_+03_+30,dg_refined_probe,heading,0,0,1,0.5,730,730,0,0,joint,joint_first_failure,1,1,0,1,3.1,0
dg_refined_19,dg_refined_19_+03_+34,dg_refined_probe,heading,0,0,1,0.5,660,660,0,0,joint,joint_first_failure,1,1,0,1,3.1,0
dg_refined_20,dg_refined_20_+03_+38,dg_refined_probe,heading,0,0,1,0.5,610,610,0,0,joint,joint_first_failure,1,1,0,1,3.1,0
dg_refined_23,dg_refined_23_+06_+30,dg_refined_probe,heading,0,0,1,0.5,715,715,0,0,joint,joint_first_failure,1,1,0,1,3.1,0
dg_refined_24,dg_refined_24_+06_+34,dg_refined_probe,heading,0,0,1,0.5,620,620,0,0,joint,joint_first_failure,1,1,0,1,3.1,0
dg_refined_25,dg_refined_25_+06_+38,dg_refined_probe,heading,0,0,1,0.5,620,620,0,0,joint,joint_first_failure,1,1,0,1,3.1,0
dg_refined_12,dg_refined_12_+00_+26,dg_refined_probe,heading,2.64341574661238,1.62585846450816,1,0.5,0,0,0,1,DT,feasible_neighbor,0,-1.64341574661238,-1.01755728210422,0,-7,0
dg_refined_11,dg_refined_11_+00_+22,dg_refined_probe,heading,2.65110601975561,1.62822173543854,1,0.5,0,0,0,1,DT,feasible_neighbor,0,-1.65110601975561,-1.02288428431708,0,-7,0
dg_refined_07,dg_refined_07_-03_+26,dg_refined_probe,heading,6.79025831704883,2.60581241018023,1,0.5,0,0,0,1,DT,feasible_neighbor,0,-5.79025831704883,-4.18444590686861,0,-7,0
dg_refined_06,dg_refined_06_-03_+22,dg_refined_probe,heading,7.22501167587595,2.68793818304596,1,0.5,0,0,0,1,DT,feasible_neighbor,0,-6.22501167587595,-4.53707349282999,0,-7,0
dg_refined_02,dg_refined_02_-06_+26,dg_refined_probe,heading,20.7825484322934,4.5587880442387,1,0.5,740,740,110,1,DT,feasible_neighbor,0,-19.7825484322934,-16.2237603880547,0,-7,0
dg_refined_01,dg_refined_01_-06_+22,dg_refined_probe,heading,36.6886294828695,6.05711395656955,1,0.5,710,710,95,1,DT,feasible_neighbor,0,-35.6886294828695,-30.6315155262999,0,-7,0
dg_refined_03,dg_refined_03_-06_+30,dg_refined_probe,heading,1.07941245323516,1.03894776251511,1,0.5,740,740,125,1,DT,feasible_neighbor,0,-0.0794124532351634,-0.0404646907200485,0.9,-9.48823735970549,0
